time,open,high,low,close,volume,bid,ask,spread
2026-08-26 09:50:12,29263.75,29265.25,29263.00,29263.00,234,29263.25,29263.50,0.25
2026-08-26 09:50:13,29262.75,29267.75,29262.75,29266.50,210,29267.25,29267.75,0.50
2026-08-26 09:50:14,29267.00,29269.25,29266.75,29268.75,190,29268.25,29268.75,0.50
2026-08-26 09:50:15,29268.50,29268.50,29265.75,29267.00,125,29267.00,29267.50,0.50
2026-08-26 09:50:16,29266.75,29268.25,29266.50,29267.25,89,29267.75,29268.25,0.50
2026-08-26 09:50:17,29268.00,29268.75,29265.00,29265.00,119,29264.25,29264.50,0.25
2026-08-26 09:50:18,29265.00,29265.25,29263.75,29264.50,123,29263.75,29264.25,0.50
2026-08-26 09:50:19,29264.75,29265.25,29260.75,29261.75,276,29262.25,29262.50,0.25
2026-08-26 09:50:20,29262.25,29264.75,29261.50,29264.00,208,29264.00,29264.50,0.50
2026-08-26 09:50:21,29264.50,29265.50,29262.50,29262.50,156,29262.00,29262.50,0.50
2026-08-26 09:50:22,29262.25,29264.00,29261.75,29262.75,116,29262.50,29263.00,0.50
2026-08-26 09:50:23,29262.75,29264.50,29262.25,29263.75,163,29266.25,29266.75,0.50
2026-08-26 09:50:24,29264.25,29267.75,29263.50,29264.75,191,29264.50,29265.00,0.50
2026-08-26 09:50:25,29264.75,29267.00,29264.00,29266.75,103,29265.75,29266.25,0.50
2026-08-26 09:50:26,29266.75,29266.75,29262.75,29264.75,180,29265.75,29266.25,0.50
2026-08-26 09:50:27,29265.50,29267.75,29265.00,29267.25,137,29267.25,29267.50,0.25
2026-08-26 09:50:28,29267.25,29272.75,29266.50,29271.50,350,29272.00,29272.25,0.25
2026-08-26 09:50:29,29272.00,29274.75,29271.25,29273.25,419,29272.50,29273.00,0.50
2026-08-26 09:50:30,29273.25,29273.50,29268.50,29270.50,139,29270.25,29270.50,0.25
2026-08-26 09:50:31,29270.00,29271.50,29269.50,29271.00,105,29271.75,29272.00,0.25
2026-08-26 09:50:32,29271.75,29273.75,29271.75,29272.50,124,29272.75,29273.00,0.25
2026-08-26 09:50:33,29273.00,29274.75,29271.75,29272.00,218,29272.00,29272.25,0.25
2026-08-26 09:50:34,29272.25,29272.50,29266.25,29267.75,176,29267.50,29268.00,0.50
2026-08-26 09:50:35,29268.25,29270.25,29266.75,29269.25,107,29270.00,29270.50,0.50
2026-08-26 09:50:36,29269.50,29271.25,29266.75,29267.00,107,29265.25,29265.75,0.50
2026-08-26 09:50:37,29267.00,29267.00,29265.00,29265.25,114,29264.00,29264.50,0.50
2026-08-26 09:50:38,29265.00,29265.50,29259.00,29260.25,382,29261.00,29261.50,0.50
2026-08-26 09:50:39,29260.50,29263.50,29260.50,29262.25,212,29261.75,29262.00,0.25
2026-08-26 09:50:40,29262.25,29262.25,29258.75,29259.50,207,29260.00,29260.25,0.25
2026-08-26 09:50:41,29259.75,29263.75,29259.75,29262.25,141,29262.25,29262.50,0.25
2026-08-26 09:50:42,29262.25,29267.00,29261.75,29267.00,142,29266.75,29267.50,0.75
2026-08-26 09:50:43,29267.00,29267.75,29264.00,29264.75,103,29264.75,29265.50,0.75
2026-08-26 09:50:44,29264.75,29265.50,29262.50,29263.75,187,29263.50,29263.75,0.25
2026-08-26 09:50:45,29264.00,29265.00,29262.50,29264.75,76,29264.25,29264.75,0.50
2026-08-26 09:50:46,29264.75,29266.00,29261.50,29262.00,98,29261.75,29262.25,0.50
2026-08-26 09:50:47,29262.50,29263.75,29260.00,29263.25,138,29263.25,29263.50,0.25
2026-08-26 09:50:48,29263.25,29264.75,29262.75,29264.50,132,29263.75,29264.25,0.50
2026-08-26 09:50:49,29264.50,29268.00,29264.00,29266.50,255,29267.50,29267.75,0.25
2026-08-26 09:50:50,29268.00,29268.00,29266.00,29267.25,96,29266.50,29266.75,0.25
2026-08-26 09:50:51,29267.00,29267.50,29263.25,29263.75,85,29264.00,29264.25,0.25
2026-08-26 09:50:52,29264.25,29265.25,29260.50,29261.50,184,29261.00,29261.50,0.50
2026-08-26 09:50:53,29261.25,29262.00,29259.75,29260.50,100,29259.50,29259.75,0.25
2026-08-26 09:50:54,29260.00,29260.00,29255.25,29256.25,420,29255.25,29255.50,0.25
2026-08-26 09:50:55,29256.50,29261.50,29254.50,29261.00,441,29260.25,29260.75,0.50
2026-08-26 09:50:56,29260.25,29266.00,29260.00,29264.50,334,29263.75,29264.25,0.50
2026-08-26 09:50:57,29264.00,29265.00,29260.75,29261.50,175,29261.00,29261.25,0.25
2026-08-26 09:50:58,29261.25,29261.50,29259.25,29259.75,120,29259.75,29260.25,0.50
2026-08-26 09:50:59,29259.75,29260.75,29259.50,29260.00,67,29259.50,29259.75,0.25
2026-08-26 09:51:00,29260.25,29260.50,29258.75,29260.00,72,29260.25,29260.50,0.25
2026-08-26 09:51:01,29260.25,29262.75,29259.50,29262.25,191,29261.50,29262.00,0.50
2026-08-26 09:51:02,29262.75,29263.75,29261.50,29263.75,161,29263.75,29264.00,0.25
2026-08-26 09:51:03,29264.00,29264.25,29261.75,29263.25,165,29264.25,29264.50,0.25
2026-08-26 09:51:04,29263.75,29266.25,29263.75,29265.00,152,29264.00,29264.50,0.50
2026-08-26 09:51:05,29264.25,29264.75,29260.75,29263.75,195,29264.00,29264.25,0.25
2026-08-26 09:51:06,29264.25,29264.25,29259.25,29260.75,219,29260.25,29260.75,0.50
2026-08-26 09:51:07,29260.50,29260.75,29257.25,29257.50,122,29257.75,29258.25,0.50
2026-08-26 09:51:08,29257.75,29260.00,29256.25,29259.25,148,29258.50,29259.00,0.50
2026-08-26 09:51:09,29258.25,29261.75,29258.25,29259.50,186,29260.00,29260.50,0.50
2026-08-26 09:51:10,29259.50,29262.25,29258.00,29258.25,88,29258.50,29258.75,0.25
2026-08-26 09:51:11,29258.50,29259.50,29258.25,29258.25,58,29258.50,29258.75,0.25
2026-08-26 09:51:12,29258.50,29258.50,29254.75,29257.25,188,29257.25,29257.75,0.50
2026-08-26 09:51:13,29257.00,29261.25,29257.00,29260.25,233,29259.25,29259.75,0.50
2026-08-26 09:51:14,29260.50,29261.50,29258.75,29261.00,108,29260.50,29261.00,0.50
2026-08-26 09:51:15,29260.75,29262.75,29260.00,29261.50,129,29261.50,29262.00,0.50
2026-08-26 09:51:16,29261.50,29261.75,29260.25,29260.50,107,29259.75,29260.00,0.25
2026-08-26 09:51:17,29260.25,29260.25,29252.50,29253.00,260,29252.75,29253.25,0.50
2026-08-26 09:51:18,29253.00,29256.25,29252.50,29256.00,234,29256.00,29256.25,0.25
2026-08-26 09:51:19,29256.00,29256.50,29253.50,29255.75,252,29254.50,29255.00,0.50
2026-08-26 09:51:20,29255.50,29255.50,29253.25,29253.50,148,29254.00,29254.25,0.25
2026-08-26 09:51:21,29254.25,29255.50,29252.50,29255.25,200,29255.25,29255.75,0.50
2026-08-26 09:51:22,29255.25,29261.00,29255.00,29260.25,216,29259.25,29259.75,0.50
2026-08-26 09:51:23,29260.00,29262.00,29259.00,29262.00,123,29261.50,29261.75,0.25
2026-08-26 09:51:24,29261.75,29262.00,29259.50,29259.75,154,29260.00,29260.25,0.25
2026-08-26 09:51:25,29260.00,29260.00,29256.75,29259.00,123,29259.50,29259.75,0.25
2026-08-26 09:51:26,29259.25,29262.00,29259.00,29259.50,112,29259.00,29259.50,0.50
2026-08-26 09:51:27,29259.75,29260.00,29257.50,29258.75,133,29259.00,29259.25,0.25
2026-08-26 09:51:28,29258.75,29262.00,29258.25,29261.75,139,29262.25,29262.50,0.25
2026-08-26 09:51:29,29262.25,29262.50,29260.50,29261.25,88,29262.75,29263.00,0.25
2026-08-26 09:51:30,29261.25,29264.50,29261.00,29263.75,127,29263.25,29263.50,0.25
2026-08-26 09:51:31,29263.75,29264.25,29261.00,29263.00,127,29263.25,29263.75,0.50
2026-08-26 09:51:32,29263.00,29265.50,29262.50,29265.00,156,29264.75,29265.00,0.25
2026-08-26 09:51:33,29265.25,29269.00,29264.75,29269.00,265,29266.75,29267.25,0.50
2026-08-26 09:51:34,29268.75,29268.75,29265.25,29266.75,165,29266.00,29266.25,0.25
2026-08-26 09:51:35,29266.25,29267.50,29265.00,29267.00,123,29267.00,29267.50,0.50
2026-08-26 09:51:36,29266.25,29268.50,29264.25,29264.25,94,29260.25,29260.75,0.50
2026-08-26 09:51:37,29264.50,29264.50,29258.50,29259.75,160,29259.75,29260.00,0.25
2026-08-26 09:51:38,29259.75,29262.25,29258.75,29262.00,54,29262.50,29262.75,0.25
2026-08-26 09:51:39,29262.25,29268.00,29262.25,29267.25,102,29267.25,29267.50,0.25
2026-08-26 09:51:40,29267.25,29270.00,29267.00,29269.50,132,29268.50,29269.00,0.50
2026-08-26 09:51:41,29268.75,29270.50,29265.75,29269.75,186,29270.00,29270.25,0.25
2026-08-26 09:51:42,29270.00,29271.00,29269.25,29270.25,109,29270.25,29270.75,0.50
2026-08-26 09:51:43,29270.00,29270.75,29268.25,29268.50,129,29267.75,29268.25,0.50
2026-08-26 09:51:44,29268.25,29269.25,29267.75,29268.25,82,29267.25,29267.50,0.25
2026-08-26 09:51:45,29267.75,29267.75,29264.50,29265.25,103,29264.25,29264.50,0.25
2026-08-26 09:51:46,29265.25,29266.25,29263.75,29265.25,106,29265.25,29265.75,0.50
2026-08-26 09:51:47,29265.25,29266.25,29265.00,29265.50,81,29266.50,29267.00,0.50
2026-08-26 09:51:48,29266.75,29269.75,29266.00,29269.50,62,29269.25,29269.75,0.50
2026-08-26 09:51:49,29269.75,29272.50,29268.50,29271.50,166,29270.25,29270.50,0.25
2026-08-26 09:51:50,29271.25,29272.50,29269.75,29272.50,133,29272.00,29272.50,0.50
2026-08-26 09:51:51,29272.50,29273.00,29270.75,29272.50,170,29273.50,29274.00,0.50
2026-08-26 09:51:52,29272.50,29274.50,29272.25,29272.25,248,29272.00,29272.50,0.50
2026-08-26 09:51:53,29272.50,29273.25,29271.25,29273.00,127,29273.75,29274.00,0.25
2026-08-26 09:51:54,29273.25,29276.50,29272.75,29275.50,421,29275.25,29275.75,0.50
2026-08-26 09:51:55,29275.75,29279.75,29275.50,29277.75,385,29278.00,29278.50,0.50
2026-08-26 09:51:56,29278.00,29279.50,29273.50,29275.25,385,29275.75,29276.00,0.25
2026-08-26 09:51:57,29275.50,29277.25,29274.50,29275.00,138,29275.50,29276.00,0.50
2026-08-26 09:51:58,29275.25,29275.75,29272.75,29273.75,145,29273.25,29273.50,0.25
2026-08-26 09:51:59,29273.50,29277.75,29272.00,29277.50,123,29279.00,29279.25,0.25
2026-08-26 09:52:00,29277.75,29282.50,29277.50,29279.50,353,29279.25,29279.50,0.25
2026-08-26 09:52:01,29279.50,29282.00,29279.00,29280.25,148,29281.25,29281.75,0.50
2026-08-26 09:52:02,29279.75,29286.00,29278.50,29284.50,419,29284.50,29284.75,0.25
2026-08-26 09:52:03,29284.50,29286.25,29281.75,29282.50,386,29282.25,29282.50,0.25
2026-08-26 09:52:04,29282.50,29287.00,29281.75,29285.50,257,29285.50,29285.75,0.25
2026-08-26 09:52:05,29285.75,29286.75,29283.50,29283.50,169,29283.75,29284.25,0.50
2026-08-26 09:52:06,29284.00,29287.50,29283.25,29287.00,226,29286.75,29287.00,0.25
2026-08-26 09:52:07,29287.00,29287.25,29285.00,29286.25,154,29285.75,29286.25,0.50
2026-08-26 09:52:08,29285.75,29290.25,29285.50,29288.50,469,29288.50,29289.00,0.50
2026-08-26 09:52:09,29288.50,29291.50,29288.00,29290.75,373,29290.50,29290.75,0.25
